OSC Address	Type	Default Value
/creatureSize	f	0.833333
/rule/3/ccChannel	i	0
/rule/3/ccEnabled	boolean	0
/rule/3/ccValue	i	0
/rule/3/comparison	i	0
/rule/3/creature1	i	0
/rule/3/creature2	i	1
/rule/3/enabled	boolean	0
/rule/3/noteChannel	i	0
/rule/3/noteDurationMs	i	0
/rule/3/noteEnabled	boolean	0
/rule/3/noteIndex	i	40
/rule/3/noteVelocity	i	100
/rule/2/ccChannel	i	0
/rule/2/ccEnabled	boolean	0
/rule/2/ccValue	i	0
/rule/2/comparison	i	0
/rule/2/creature1	i	0
/rule/2/creature2	i	1
/rule/2/enabled	boolean	0
/rule/2/noteChannel	i	0
/rule/2/noteDurationMs	i	0
/rule/2/noteEnabled	boolean	0
/rule/2/noteIndex	i	40
/rule/2/noteVelocity	i	100
/rule/1/ccChannel	i	0
/rule/1/ccEnabled	boolean	0
/rule/1/ccValue	i	0
/rule/1/comparison	i	0
/rule/1/creature1	i	0
/rule/1/creature2	i	1
/rule/1/enabled	boolean	0
/rule/1/noteChannel	i	0
/rule/1/noteDurationMs	i	0
/rule/1/noteEnabled	boolean	0
/rule/1/noteIndex	i	40
/rule/1/noteVelocity	i	100
/rule/0/ccChannel	i	0
/rule/0/ccEnabled	boolean	0
/rule/0/ccValue	i	0
/rule/0/comparison	i	0
/rule/0/creature1	i	0
/rule/0/creature2	i	1
/rule/0/enabled	boolean	0
/rule/0/noteChannel	i	0
/rule/0/noteDurationMs	i	0
/rule/0/noteEnabled	boolean	0
/rule/0/noteIndex	i	40
/rule/0/noteVelocity	i	100
/creature/5/cellX	i	0
/creature/5/cellY	i	0
/creature/5/colorHue	i	300
/creature/5/enableControlByAuto	boolean	0
/creature/5/enableControlByCell	boolean	0
/creature/5/enableControlByNote	boolean	0
/creature/5/outputChannel	i	0
/creature/5/startX	i	0
/creature/5/startY	i	0
/creature/4/cellX	i	0
/creature/4/cellY	i	0
/creature/4/colorHue	i	240
/creature/4/enableControlByAuto	boolean	0
/creature/4/enableControlByCell	boolean	0
/creature/4/enableControlByNote	boolean	0
/creature/4/outputChannel	i	0
/creature/4/startX	i	0
/creature/4/startY	i	0
/creature/3/cellX	i	0
/creature/3/cellY	i	0
/creature/3/colorHue	i	180
/creature/3/enableControlByAuto	boolean	0
/creature/3/enableControlByCell	boolean	0
/creature/3/enableControlByNote	boolean	0
/creature/3/outputChannel	i	0
/creature/3/startX	i	0
/creature/3/startY	i	0
/creature/2/cellX	i	0
/creature/2/cellY	i	0
/creature/2/colorHue	i	120
/creature/2/enableControlByAuto	boolean	0
/creature/2/enableControlByCell	boolean	0
/creature/2/enableControlByNote	boolean	0
/creature/2/outputChannel	i	0
/creature/2/startX	i	0
/creature/2/startY	i	0
/creature/1/cellX	i	0
/creature/1/cellY	i	0
/creature/1/colorHue	i	60
/creature/1/enableControlByAuto	boolean	0
/creature/1/enableControlByCell	boolean	0
/creature/1/enableControlByNote	boolean	0
/creature/1/outputChannel	i	0
/creature/1/startX	i	0
/creature/1/startY	i	0
/creature/0/cellX	i	0
/creature/0/cellY	i	0
/creature/0/colorHue	i	0
/creature/0/enableControlByAuto	boolean	0
/creature/0/enableControlByCell	boolean	0
/creature/0/enableControlByNote	boolean	0
/creature/0/outputChannel	i	0
/creature/0/startX	i	0
/creature/0/startY	i	0
