OSC Address	Type	Default value	Has Range	Range Minimum	Range Maximum
/global1/dimensions	f f f	1	n	-	-
/global1/origin	f f f	0	n	-	-
/global1/plode	f f f	1	n	-	-
/global1/plodeScale	f	1	y	0	10
/global1/position	f f f	0	n	-	-
/global1/rotation	f f f	0	y	-360	360
/global1/stretch	f f f	1	n	-	-
/global2/dimensions	f f f	1	n	-	-
/global2/origin	f f f	0	n	-	-
/global2/plode	f f f	1	n	-	-
/global2/plodeScale	f	1	y	0	10
/global2/position	f f f	0	n	-	-
/global2/rotation	f f f	0	y	-360	360
/global2/stretch	f f f	1	n	-	-
/global3/dimensions	f f f	1	n	-	-
/global3/origin	f f f	0	n	-	-
/global3/plode	f f f	1	n	-	-
/global3/plodeScale	f	1	y	0	10
/global3/position	f f f	0	n	-	-
/global3/rotation	f f f	0	y	-360	360
/global3/stretch	f f f	1	n	-	-
/monitor/oldSkoolSpeakers	i (boolean)	false	n	-	-
/monitor/particleOpacity	f	0.5	n	-	-
/monitor/showAxesHelpers	i (boolean)	false	n	-	-
/monitor/showParticles	i (boolean)	true	n	-	-
/monitor/showPaths	i (boolean)	false	n	-	-
/monitor/showShapes	i (boolean)	false	n	-	-
/monitor/showSpeakers	i (boolean)	true	n	-	-
/source1/anchorPoint	f f f	0	n	-	-
/source1/axesHelper/visible	i (boolean)	true	n	-	-
/source1/color	f f f	0	y	0	1
/source1/distanceDampingCurvature	f	-0.4	y	-1	1
/source1/distanceDampingEnable	i (boolean)	false	n	-	-
/source1/distanceDampingThreshold	f	100	y	0.001	1000
/source1/distanceIntensityCurvature	f	-0.4	y	-1	1
/source1/distanceIntensityEnable	i (boolean)	false	n	-	-
/source1/distanceIntensityThreshold	f	100	y	0.001	1000
/source1/distanceReverbCurvature	f	-0.4	y	-1	1
/source1/distanceReverbThreshold	f	100	y	0.001	1000
/source1/dryGain	f	1	y	0	1
/source1/elevationFilterAboveContrast	f	1	y	0	1
/source1/elevationFilterAboveCurvature	f	0.4	y	-1	1
/source1/elevationFilterAboveEnable	i (boolean)	false	n	-	-
/source1/elevationFilterAboveThreshold	f	100	y	0.001	1000
/source1/elevationFilterBelowContrast	f	1	y	0	1
/source1/elevationFilterBelowCurvature	f	0.4	y	-1	1
/source1/elevationFilterBelowEnable	i (boolean)	false	n	-	-
/source1/elevationFilterBelowThreshold	f	100	y	0.001	1000
/source1/externalInputChannel	i	1	y	1	64
/source1/externalInputEnable	i (boolean)	true	n	-	-
/source1/follow	enum	0	n	-	-
/source1/granulatorAmplitude	f	1	y	0	10
/source1/granulatorAmplitudeDev	f	0	y	0	1
/source1/granulatorAttackDecay	f	0	y	0	100
